"filename", "language", "Markdown", "MS SQL", "JSON", "TypeScript", "JavaScript", "CSS", "TypeScript JSX", "Groovy", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\mandi\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 255, 0, 0, 7, 32, 294
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\menu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 0, 10, 24, 219
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\messaging\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 317, 0, 0, 11, 25, 353
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\network\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 246, 0, 0, 6, 21, 273
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 232, 0, 0, 8, 23, 263
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\pairing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 4, 19, 158
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\parties\[partyId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 686, 0, 0, 9, 69, 764
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\parties\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 204, 0, 0, 1, 25, 230
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\parties\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 551, 0, 0, 4, 54, 609
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\payroll\[periodId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 530, 0, 0, 13, 48, 591
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\payroll\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 383, 0, 0, 9, 44, 436
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal-manager\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 235, 0, 0, 7, 27, 269
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\[businessSlug]\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 9, 124
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\[businessSlug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 11, 139
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 5, 10, 64
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 9, 15, 178
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\invoices\InvoicesClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 0, 4, 14, 256
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\invoices\[id]\pdf\route.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 8, 13, 66
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 8, 40
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 9, 62
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\portal\view\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 15, 141
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\pos\close\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 319, 0, 0, 8, 35, 362
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\pos\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 389, 0, 0, 19, 47, 455
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\production\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 209, 0, 0, 2, 27, 238
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\production\batches\[batchId]\costing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 292, 0, 0, 6, 32, 330
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\production\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 168, 0, 0, 3, 23, 194
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\production\daily-log\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 220, 0, 0, 3, 24, 247
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\production\handover\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 328, 0, 0, 11, 37, 376
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\production\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 572, 0, 0, 12, 61, 645
