"filename", "language", "JSON", "YAML", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "XML", "pip requirements", "Python", "HTML", "Batch", "MS SQL", "TypeScript JSX", "Shell Script", "CSS", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pairing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 4, 19, 158
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\[partyId]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 13, 180
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\[partyId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 686, 0, 0, 0, 0, 0, 9, 69, 764
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 1, 28, 248
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 561, 0, 0, 0, 0, 0, 3, 54, 618
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\payroll\[periodId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 553, 0, 0, 0, 0, 0, 16, 55, 624
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\payroll\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 415, 0, 0, 0, 0, 0, 13, 54, 482
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\portal-manager\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 7, 27, 269
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\portal\[businessSlug]\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 9, 124
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\portal\[businessSlug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 11, 157
