"filename", "language", "YAML", "JSON", "TypeScript", "MS SQL", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\hub\info\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\internal\backup\route.ts", "TypeScript", 0, 0, 139, 0, 0, 0, 4, 26, 169
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\messaging\events\route.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 1, 8, 38
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\messaging\route.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 2, 9, 64
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\portal\generate\route.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 5, 11, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\portal\verify\route.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 8, 15, 89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\sentinel\recording-complete\route.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\sentinel\recording-started\route.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\settings\route.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 11, 120
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\staff\invite\route.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 6, 17, 103
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\api\startup\route.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 1, 5, 26
