"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "MS SQL", "JSON", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\i18n.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, -2, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\blog-utils.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 2, 10, 85
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\nsp\server.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\persona\PersonaEngine.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, 0, -1, 0, -10
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\sentinel\recordingManager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\supabase\client.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 1, 6, 63
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\server\NspBroadcaster.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\server\TCPServer.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, -7, 3, 10
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\server\server.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 7, 16, 89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\services\WhatsAppBusinessService.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\stores\tierStore.ts", "TypeScript", 0, 154, 0, 0, 0, 0, 0, 0, 3, 16, 173
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\find-data.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\list-columns.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\list-portals.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\utils\setup-test-portal.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\functions\verify-license\index.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 8, 12, 81
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\migrations\043_security_hardening_rls.sql", "MS SQL", 0, 0, 0, 0, 0, 53, 0, 0, 31, 24, 108
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\supabase\migrations\044_add_is_trial_to_licenses.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\tsconfig.json", "JSON with Comments", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 885, 366, 212, 3107, 55, 61, 69, 236, 639, 5631
