"filename", "language", "YAML", "TypeScript", "MS SQL", "JavaScript", "HTML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\payslip\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -460, 0, -14, -36, -510
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\purchase-order\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -416, 0, -6, -29, -451
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\generators\qr\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -438, 0, -4, -28, -470
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -708, 0, -23, -71, -802
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\intelligence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -415, 0, -25, -57, -497
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\inventory\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -383, 0, -8, -47, -438
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\inventory\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -998, 0, -28, -101, -1127
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\invoices\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -531, 0, -9, -50, -590
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\invoices\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -748, 0, -37, -78, -863
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -364, 0, -1, -27, -392
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\invoices\recurring\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -126, 0, -4, -14, -144
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\invoices\recurring\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -94, 0, 0, -9, -103
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\karigars\[karigarId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -871, 0, -26, -104, -1001
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\app-temp\karigars\network\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -154, 0, -6, -23, -183
